"E-Field:0","E-Field:1","E-Field:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.7202e-10,0,6.7005e-11,1,0.028181,0.1854,-0.15722,0.01
3.706e-10,0,6.6719e-11,1,0.028552,0.1854,-0.15685,0.01
3.6918e-10,0,6.6441e-11,1,0.028922,0.1854,-0.15648,0.01
3.6778e-10,0,6.6199e-11,1,0.029293,0.1854,-0.15611,0.01
3.6637e-10,0,6.5956e-11,1,0.029664,0.1854,-0.15574,0.01
3.6497e-10,0,6.5714e-11,1,0.030035,0.1854,-0.15537,0.01
3.6357e-10,0,6.5472e-11,1,0.030406,0.1854,-0.15499,0.01
3.6216e-10,0,6.5229e-11,1,0.030776,0.1854,-0.15462,0.01
3.6076e-10,0,6.4987e-11,1,0.031147,0.1854,-0.15425,0.01
3.5935e-10,0,6.4744e-11,1,0.031518,0.1854,-0.15388,0.01
3.5795e-10,0,6.4502e-11,1,0.031889,0.1854,-0.15351,0.01
3.5654e-10,0,6.426e-11,1,0.03226,0.1854,-0.15314,0.01
3.5514e-10,0,6.4017e-11,1,0.03263,0.1854,-0.15277,0.01
3.5373e-10,0,6.3775e-11,1,0.033001,0.1854,-0.1524,0.01
3.5233e-10,0,6.3533e-11,1,0.033372,0.1854,-0.15203,0.01
3.5093e-10,0,6.329e-11,1,0.033743,0.1854,-0.15166,0.01
3.4952e-10,0,6.3048e-11,1,0.034114,0.1854,-0.15129,0.01
3.4812e-10,0,6.2806e-11,1,0.034484,0.1854,-0.15092,0.01
3.4674e-10,0,6.2593e-11,1,0.034855,0.1854,-0.15054,0.01
3.4539e-10,0,6.24e-11,1,0.035226,0.1854,-0.15017,0.01
3.4404e-10,0,6.2206e-11,1,0.035597,0.1854,-0.1498,0.01
3.4269e-10,0,6.2013e-11,1,0.035968,0.1854,-0.14943,0.01
3.4134e-10,0,6.1819e-11,1,0.036338,0.1854,-0.14906,0.01
3.3999e-10,0,6.1626e-11,1,0.036709,0.1854,-0.14869,0.01
3.3864e-10,0,6.1432e-11,1,0.03708,0.1854,-0.14832,0.01
3.3729e-10,0,6.1238e-11,1,0.037451,0.1854,-0.14795,0.01
3.3594e-10,0,6.1045e-11,1,0.037822,0.1854,-0.14758,0.01
3.3459e-10,0,6.0851e-11,1,0.038192,0.1854,-0.14721,0.01
3.3323e-10,0,6.0658e-11,1,0.038563,0.1854,-0.14684,0.01
3.3188e-10,0,6.0464e-11,1,0.038934,0.1854,-0.14647,0.01
3.3053e-10,0,6.0271e-11,1,0.039305,0.1854,-0.1461,0.01
3.2918e-10,0,6.0077e-11,1,0.039676,0.1854,-0.14572,0.01
3.2783e-10,0,5.9884e-11,1,0.040046,0.1854,-0.14535,0.01
3.2648e-10,0,5.9693e-11,1,0.040417,0.1854,-0.14498,0.01
3.2525e-10,0,5.9559e-11,1,0.040788,0.1854,-0.14461,0.01
3.2401e-10,0,5.9424e-11,1,0.041159,0.1854,-0.14424,0.01
3.2277e-10,0,5.929e-11,1,0.04153,0.1854,-0.14387,0.01
3.2154e-10,0,5.9156e-11,1,0.0419,0.1854,-0.1435,0.01
3.203e-10,0,5.9022e-11,1,0.042271,0.1854,-0.14313,0.01
3.1906e-10,0,5.8887e-11,1,0.042642,0.1854,-0.14276,0.01
3.1783e-10,0,5.8753e-11,1,0.043013,0.1854,-0.14239,0.01
3.1659e-10,0,5.8619e-11,1,0.043384,0.1854,-0.14202,0.01
3.1535e-10,0,5.8485e-11,1,0.043754,0.1854,-0.14165,0.01
3.1411e-10,0,5.8351e-11,1,0.044125,0.1854,-0.14127,0.01
3.1288e-10,0,5.8216e-11,1,0.044496,0.1854,-0.1409,0.01
3.1164e-10,0,5.8082e-11,1,0.044867,0.1854,-0.14053,0.01
3.104e-10,0,5.7948e-11,1,0.045238,0.1854,-0.14016,0.01
3.0917e-10,0,5.7814e-11,1,0.045608,0.1854,-0.13979,0.01
3.081e-10,0,5.7746e-11,1,0.045979,0.1854,-0.13942,0.01
3.0705e-10,0,5.7684e-11,1,0.04635,0.1854,-0.13905,0.01
3.06e-10,0,5.7622e-11,1,0.046721,0.1854,-0.13868,0.01
3.0495e-10,0,5.7559e-11,1,0.047092,0.1854,-0.13831,0.01
3.039e-10,0,5.7497e-11,1,0.047462,0.1854,-0.13794,0.01
3.0285e-10,0,5.7435e-11,1,0.047833,0.1854,-0.13757,0.01
3.018e-10,0,5.7373e-11,1,0.048204,0.1854,-0.1372,0.01
3.0075e-10,0,5.7311e-11,1,0.048575,0.1854,-0.13683,0.01
2.997e-10,0,5.7249e-11,1,0.048946,0.1854,-0.13645,0.01
2.9865e-10,0,5.7187e-11,1,0.049316,0.1854,-0.13608,0.01
2.976e-10,0,5.7125e-11,1,0.049687,0.1854,-0.13571,0.01
2.9655e-10,0,5.7063e-11,1,0.050058,0.1854,-0.13534,0.01
2.955e-10,0,5.7001e-11,1,0.050429,0.1854,-0.13497,0.01
2.9445e-10,0,5.6939e-11,1,0.0508,0.1854,-0.1346,0.01
2.9361e-10,0,5.6945e-11,1,0.05117,0.1854,-0.13423,0.01
2.9284e-10,0,5.697e-11,1,0.051541,0.1854,-0.13386,0.01
2.9206e-10,0,5.6995e-11,1,0.051912,0.1854,-0.13349,0.01
2.9128e-10,0,5.702e-11,1,0.052283,0.1854,-0.13312,0.01
2.9051e-10,0,5.7045e-11,1,0.052654,0.1854,-0.13275,0.01
2.8973e-10,0,5.7069e-11,1,0.053024,0.1854,-0.13238,0.01
2.8896e-10,0,5.7094e-11,1,0.053395,0.1854,-0.132,0.01
2.8818e-10,0,5.7119e-11,1,0.053766,0.1854,-0.13163,0.01
2.8741e-10,0,5.7144e-11,1,0.054137,0.1854,-0.13126,0.01
2.8663e-10,0,5.7169e-11,1,0.054508,0.1854,-0.13089,0.01
2.8585e-10,0,5.7194e-11,1,0.054878,0.1854,-0.13052,0.01
2.8508e-10,0,5.7219e-11,1,0.055249,0.1854,-0.13015,0.01
2.843e-10,0,5.7244e-11,1,0.05562,0.1854,-0.12978,0.01
2.8353e-10,0,5.7268e-11,1,0.055991,0.1854,-0.12941,0.01
2.8299e-10,0,5.7358e-11,1,0.056362,0.1854,-0.12904,0.01
2.8258e-10,0,5.7481e-11,1,0.056732,0.1854,-0.12867,0.01
2.8217e-10,0,5.7604e-11,1,0.057103,0.1854,-0.1283,0.01
2.8176e-10,0,5.7727e-11,1,0.057474,0.1854,-0.12793,0.01
2.8135e-10,0,5.785e-11,1,0.057845,0.1854,-0.12756,0.01
2.8094e-10,0,5.7972e-11,1,0.058216,0.1854,-0.12718,0.01
2.8052e-10,0,5.8095e-11,1,0.058586,0.1854,-0.12681,0.01
2.8011e-10,0,5.8218e-11,1,0.058957,0.1854,-0.12644,0.01
2.797e-10,0,5.8341e-11,1,0.059328,0.1854,-0.12607,0.01
2.7929e-10,0,5.8464e-11,1,0.059699,0.1854,-0.1257,0.01
2.7888e-10,0,5.8587e-11,1,0.06007,0.1854,-0.12533,0.01
2.7847e-10,0,5.871e-11,1,0.06044,0.1854,-0.12496,0.01
2.7806e-10,0,5.8833e-11,1,0.060811,0.1854,-0.12459,0.01
2.7765e-10,0,5.8956e-11,1,0.061182,0.1854,-0.12422,0.01
2.7747e-10,0,5.9133e-11,1,0.061553,0.1854,-0.12385,0.01
2.775e-10,0,5.9359e-11,1,0.061924,0.1854,-0.12348,0.01
2.7752e-10,0,5.9585e-11,1,0.062294,0.1854,-0.12311,0.01
2.7755e-10,0,5.9811e-11,1,0.062665,0.1854,-0.12273,0.01
2.7758e-10,0,6.0037e-11,1,0.063036,0.1854,-0.12236,0.01
2.7761e-10,0,6.0263e-11,1,0.063407,0.1854,-0.12199,0.01
2.7764e-10,0,6.0489e-11,1,0.063778,0.1854,-0.12162,0.01
2.7767e-10,0,6.0715e-11,1,0.064148,0.1854,-0.12125,0.01
2.7769e-10,0,6.0941e-11,1,0.064519,0.1854,-0.12088,0.01
2.7772e-10,0,6.1167e-11,1,0.06489,0.1854,-0.12051,0.01
2.7775e-10,0,6.1393e-11,1,0.065261,0.1854,-0.12014,0.01
2.7778e-10,0,6.1619e-11,1,0.065632,0.1854,-0.11977,0.01
2.7781e-10,0,6.1845e-11,1,0.066002,0.1854,-0.1194,0.01
2.7783e-10,0,6.2071e-11,1,0.066373,0.1854,-0.11903,0.01
2.7801e-10,0,6.2328e-11,1,0.066744,0.1854,-0.11866,0.01
2.784e-10,0,6.2633e-11,1,0.067115,0.1854,-0.11829,0.01
2.788e-10,0,6.2938e-11,1,0.067486,0.1854,-0.11791,0.01
2.7919e-10,0,6.3242e-11,1,0.067856,0.1854,-0.11754,0.01
2.7959e-10,0,6.3547e-11,1,0.068227,0.1854,-0.11717,0.01
2.7998e-10,0,6.3851e-11,1,0.068598,0.1854,-0.1168,0.01
2.8037e-10,0,6.4156e-11,1,0.068969,0.1854,-0.11643,0.01
2.8077e-10,0,6.4461e-11,1,0.06934,0.1854,-0.11606,0.01
2.813e-10,0,6.4794e-11,1,0.06971,0.1854,-0.11569,0.01
2.8193e-10,0,6.5146e-11,1,0.070081,0.1854,-0.11532,0.01
2.8267e-10,0,6.5521e-11,1,0.070452,0.1854,-0.11495,0.01
2.8342e-10,0,6.5896e-11,1,0.070823,0.1854,-0.11458,0.01
2.8416e-10,0,6.6271e-11,1,0.071194,0.1854,-0.11421,0.01
2.849e-10,0,6.6646e-11,1,0.071564,0.1854,-0.11384,0.01
2.8565e-10,0,6.7021e-11,1,0.071935,0.1854,-0.11346,0.01
2.8639e-10,0,6.7397e-11,1,0.072306,0.1854,-0.11309,0.01
2.8713e-10,0,6.7772e-11,1,0.072677,0.1854,-0.11272,0.01
2.8788e-10,0,6.8147e-11,1,0.073048,0.1854,-0.11235,0.01
2.8862e-10,0,6.8522e-11,1,0.073418,0.1854,-0.11198,0.01
2.8951e-10,0,6.8927e-11,1,0.073789,0.1854,-0.11161,0.01
2.9048e-10,0,6.9348e-11,1,0.07416,0.1854,-0.11124,0.01
2.9145e-10,0,6.9768e-11,1,0.074531,0.1854,-0.11087,0.01
2.9242e-10,0,7.0189e-11,1,0.074902,0.1854,-0.1105,0.01
2.9356e-10,0,7.0642e-11,1,0.075272,0.1854,-0.11013,0.01
2.9471e-10,0,7.1098e-11,1,0.075643,0.1854,-0.10976,0.01
2.9586e-10,0,7.1555e-11,1,0.076014,0.1854,-0.10939,0.01
2.9702e-10,0,7.2011e-11,1,0.076385,0.1854,-0.10902,0.01
2.9817e-10,0,7.2468e-11,1,0.076756,0.1854,-0.10864,0.01
2.9932e-10,0,7.2924e-11,1,0.077126,0.1854,-0.10827,0.01
3.0048e-10,0,7.3381e-11,1,0.077497,0.1854,-0.1079,0.01
3.0168e-10,0,7.3848e-11,1,0.077868,0.1854,-0.10753,0.01
3.0298e-10,0,7.4333e-11,1,0.078239,0.1854,-0.10716,0.01
3.044e-10,0,7.4843e-11,1,0.07861,0.1854,-0.10679,0.01
3.0582e-10,0,7.5355e-11,1,0.07898,0.1854,-0.10642,0.01
3.0725e-10,0,7.5866e-11,1,0.079351,0.1854,-0.10605,0.01
3.0867e-10,0,7.6378e-11,1,0.079722,0.1854,-0.10568,0.01
3.101e-10,0,7.6889e-11,1,0.080093,0.1854,-0.10531,0.01
3.1153e-10,0,7.7401e-11,1,0.080464,0.1854,-0.10494,0.01
3.1295e-10,0,7.7912e-11,1,0.080834,0.1854,-0.10457,0.01
3.1444e-10,0,7.8437e-11,1,0.081205,0.1854,-0.10419,0.01
3.1602e-10,0,7.898e-11,1,0.081576,0.1854,-0.10382,0.01
3.1759e-10,0,7.9523e-11,1,0.081947,0.1854,-0.10345,0.01
3.1919e-10,0,8.007e-11,1,0.082318,0.1854,-0.10308,0.01
3.2083e-10,0,8.0626e-11,1,0.082688,0.1854,-0.10271,0.01
3.2253e-10,0,8.1196e-11,1,0.083059,0.1854,-0.10234,0.01
3.2423e-10,0,8.1765e-11,1,0.08343,0.1854,-0.10197,0.01
3.2593e-10,0,8.2335e-11,1,0.083801,0.1854,-0.1016,0.01
3.2765e-10,0,8.291e-11,1,0.084172,0.1854,-0.10123,0.01
3.2943e-10,0,8.3496e-11,1,0.084542,0.1854,-0.10086,0.01
3.3121e-10,0,8.4083e-11,1,0.084913,0.1854,-0.10049,0.01
3.3305e-10,0,8.4685e-11,1,0.085284,0.1854,-0.10012,0.01
3.349e-10,0,8.5288e-11,1,0.085655,0.1854,-0.099745,0.01
3.3675e-10,0,8.5891e-11,1,0.086026,0.1854,-0.099374,0.01
3.3861e-10,0,8.6497e-11,1,0.086396,0.1854,-0.099004,0.01
3.4052e-10,0,8.7114e-11,1,0.086767,0.1854,-0.098633,0.01
3.4247e-10,0,8.7742e-11,1,0.087138,0.1854,-0.098262,0.01
3.4444e-10,0,8.8373e-11,1,0.087509,0.1854,-0.097891,0.01
3.464e-10,0,8.9004e-11,1,0.08788,0.1854,-0.09752,0.01
3.4837e-10,0,8.9635e-11,1,0.08825,0.1854,-0.09715,0.01
3.5039e-10,0,9.0282e-11,1,0.088621,0.1854,-0.096779,0.01
3.5242e-10,0,9.0928e-11,1,0.088992,0.1854,-0.096408,0.01
3.5449e-10,0,9.1586e-11,1,0.089363,0.1854,-0.096037,0.01
3.5658e-10,0,9.2249e-11,1,0.089734,0.1854,-0.095666,0.01
3.5867e-10,0,9.2911e-11,1,0.090104,0.1854,-0.095296,0.01
3.6075e-10,0,9.3573e-11,1,0.090475,0.1854,-0.094925,0.01
3.6296e-10,0,9.4269e-11,1,0.090846,0.1854,-0.094554,0.01
3.6517e-10,0,9.4966e-11,1,0.091217,0.1854,-0.094183,0.01
3.6738e-10,0,9.5662e-11,1,0.091588,0.1854,-0.093812,0.01
3.6959e-10,0,9.6359e-11,1,0.091958,0.1854,-0.093442,0.01
3.718e-10,0,9.7055e-11,1,0.092329,0.1854,-0.093071,0.01
3.7401e-10,0,9.7752e-11,1,0.0927,0.1854,-0.0927,0.01
3.7622e-10,0,9.8449e-11,1,0.093071,0.1854,-0.092329,0.01
3.7843e-10,0,9.9145e-11,1,0.093442,0.1854,-0.091958,0.01
3.8063e-10,0,9.9842e-11,1,0.093812,0.1854,-0.091588,0.01
3.8285e-10,0,1.0054e-10,1,0.094183,0.1854,-0.091217,0.01
3.8521e-10,0,1.0129e-10,1,0.094554,0.1854,-0.090846,0.01
3.8757e-10,0,1.0203e-10,1,0.094925,0.1854,-0.090475,0.01
3.8993e-10,0,1.0278e-10,1,0.095296,0.1854,-0.090104,0.01
3.9229e-10,0,1.0352e-10,1,0.095666,0.1854,-0.089734,0.01
3.9465e-10,0,1.0427e-10,1,0.096037,0.1854,-0.089363,0.01
3.9701e-10,0,1.0502e-10,1,0.096408,0.1854,-0.088992,0.01
3.9937e-10,0,1.0576e-10,1,0.096779,0.1854,-0.088621,0.01
4.0173e-10,0,1.0651e-10,1,0.09715,0.1854,-0.08825,0.01
4.0409e-10,0,1.0725e-10,1,0.09752,0.1854,-0.08788,0.01
4.0646e-10,0,1.08e-10,1,0.097891,0.1854,-0.087509,0.01
4.0891e-10,0,1.0879e-10,1,0.098262,0.1854,-0.087138,0.01
4.1137e-10,0,1.0957e-10,1,0.098633,0.1854,-0.086767,0.01
4.1382e-10,0,1.1035e-10,1,0.099004,0.1854,-0.086396,0.01
4.1628e-10,0,1.1114e-10,1,0.099374,0.1854,-0.086026,0.01
4.1873e-10,0,1.1192e-10,1,0.099745,0.1854,-0.085655,0.01
4.2125e-10,0,1.1273e-10,1,0.10012,0.1854,-0.085284,0.01
4.2378e-10,0,1.1355e-10,1,0.10049,0.1854,-0.084913,0.01
4.2632e-10,0,1.1438e-10,1,0.10086,0.1854,-0.084542,0.01
4.2886e-10,0,1.152e-10,1,0.10123,0.1854,-0.084172,0.01
4.314e-10,0,1.1602e-10,1,0.1016,0.1854,-0.083801,0.01
4.3393e-10,0,1.1685e-10,1,0.10197,0.1854,-0.08343,0.01
4.3647e-10,0,1.1767e-10,1,0.10234,0.1854,-0.083059,0.01
4.3901e-10,0,1.1849e-10,1,0.10271,0.1854,-0.082688,0.01
4.4155e-10,0,1.1931e-10,1,0.10308,0.1854,-0.082318,0.01
4.4408e-10,0,1.2014e-10,1,0.10345,0.1854,-0.081947,0.01
4.4662e-10,0,1.2096e-10,1,0.10382,0.1854,-0.081576,0.01
4.492e-10,0,1.2181e-10,1,0.10419,0.1854,-0.081205,0.01
4.5182e-10,0,1.2269e-10,1,0.10457,0.1854,-0.080834,0.01
4.5444e-10,0,1.2357e-10,1,0.10494,0.1854,-0.080464,0.01
4.5706e-10,0,1.2444e-10,1,0.10531,0.1854,-0.080093,0.01
4.5969e-10,0,1.2532e-10,1,0.10568,0.1854,-0.079722,0.01
4.6231e-10,0,1.262e-10,1,0.10605,0.1854,-0.079351,0.01
4.6493e-10,0,1.2707e-10,1,0.10642,0.1854,-0.07898,0.01
4.6755e-10,0,1.2795e-10,1,0.10679,0.1854,-0.07861,0.01
4.7017e-10,0,1.2883e-10,1,0.10716,0.1854,-0.078239,0.01
4.7279e-10,0,1.297e-10,1,0.10753,0.1854,-0.077868,0.01
4.7541e-10,0,1.3058e-10,1,0.1079,0.1854,-0.077497,0.01
4.7804e-10,0,1.3147e-10,1,0.10827,0.1854,-0.077126,0.01
4.8071e-10,0,1.3238e-10,1,0.10864,0.1854,-0.076756,0.01
4.8337e-10,0,1.333e-10,1,0.10902,0.1854,-0.076385,0.01
4.8603e-10,0,1.3421e-10,1,0.10939,0.1854,-0.076014,0.01
4.8869e-10,0,1.3513e-10,1,0.10976,0.1854,-0.075643,0.01
4.9137e-10,0,1.3607e-10,1,0.11013,0.1854,-0.075272,0.01
4.9406e-10,0,1.3702e-10,1,0.1105,0.1854,-0.074902,0.01
4.9674e-10,0,1.3798e-10,1,0.11087,0.1854,-0.074531,0.01
4.9943e-10,0,1.3893e-10,1,0.11124,0.1854,-0.07416,0.01
5.0212e-10,0,1.3988e-10,1,0.11161,0.1854,-0.073789,0.01
