"E-Field:0","E-Field:1","E-Field:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2722e-10,2.916e-19,4.4382e-10,1,0.025214,0.1854,-0.16019,0.01
1.2705e-10,2.9241e-19,4.4331e-10,1,0.025585,0.1854,-0.15981,0.01
1.2688e-10,2.9322e-19,4.4281e-10,1,0.025956,0.1854,-0.15944,0.01
1.2671e-10,2.9403e-19,4.423e-10,1,0.026327,0.1854,-0.15907,0.01
1.2654e-10,2.9485e-19,4.4179e-10,1,0.026698,0.1854,-0.1587,0.01
1.2638e-10,2.9575e-19,4.4131e-10,1,0.027068,0.1854,-0.15833,0.01
1.2622e-10,2.9704e-19,4.4094e-10,1,0.027439,0.1854,-0.15796,0.01
1.2607e-10,2.9834e-19,4.4057e-10,1,0.02781,0.1854,-0.15759,0.01
1.2591e-10,2.9964e-19,4.402e-10,1,0.028181,0.1854,-0.15722,0.01
1.2576e-10,3.0093e-19,4.3983e-10,1,0.028552,0.1854,-0.15685,0.01
1.256e-10,3.0223e-19,4.3945e-10,1,0.028922,0.1854,-0.15648,0.01
1.2545e-10,3.0353e-19,4.3908e-10,1,0.029293,0.1854,-0.15611,0.01
1.2529e-10,3.0482e-19,4.3871e-10,1,0.029664,0.1854,-0.15574,0.01
1.2514e-10,3.0612e-19,4.3834e-10,1,0.030035,0.1854,-0.15537,0.01
1.2498e-10,3.0741e-19,4.3797e-10,1,0.030406,0.1854,-0.15499,0.01
1.2483e-10,3.0871e-19,4.3759e-10,1,0.030776,0.1854,-0.15462,0.01
1.2467e-10,3.1001e-19,4.3722e-10,1,0.031147,0.1854,-0.15425,0.01
1.2452e-10,3.1134e-19,4.3687e-10,1,0.031518,0.1854,-0.15388,0.01
1.2438e-10,3.1288e-19,4.3667e-10,1,0.031889,0.1854,-0.15351,0.01
1.2425e-10,3.1442e-19,4.3646e-10,1,0.03226,0.1854,-0.15314,0.01
1.2411e-10,3.1596e-19,4.3626e-10,1,0.03263,0.1854,-0.15277,0.01
1.2398e-10,3.175e-19,4.3606e-10,1,0.033001,0.1854,-0.1524,0.01
1.2384e-10,3.1904e-19,4.3585e-10,1,0.033372,0.1854,-0.15203,0.01
1.237e-10,3.2058e-19,4.3565e-10,1,0.033743,0.1854,-0.15166,0.01
1.2357e-10,3.2212e-19,4.3545e-10,1,0.034114,0.1854,-0.15129,0.01
1.2343e-10,3.2366e-19,4.3524e-10,1,0.034484,0.1854,-0.15092,0.01
